,OBJECTID,REFVAL,ADDRESS,PROPOSAL,STATUS,DECISION,DEC_DATE,SHAPE.AREA,SHAPE.LEN,OBJECTID_1,StartYear,Postcode
3693,178274,12/05327/X,Former St Peter's HospiceSt Agnes AvenueBristolBS4 2DU,"Removal of Condition 7 (No development shall take place, including demolition of the existing buildings, until a strategy for the reuse of existing historic materials have been submitted and approved in writing by the Local Planning Authority) attached to planning permission 12/00256/X  (Demolition of existing redundant Hospice buildings and erection of 13 no. 2, 3 and 4 -bedroom houses, together with parking, garaging and amenity areas.) (Major application).",GRANTED subject to condition(s),GRANTED subject to condition(s),591367168.0,0,0,178274,12,BS4 2DU
3741,178366,13/00285/A,1 - 3 Bloomfield RoadBristolBS4 3QU,3 No internally illuminated fascias. 2 No internally illuminated projectors. 1 No internally non illuminated applied vinyl. 1No externally non illuminated alluminum name plate. 1 No externally non illuminated vinyl overlay.,GRANTED subject to condition(s),GRANTED subject to condition(s),1109767168.0,0,0,178366,13,BS4 3QU
3750,178384,13/00588/LA,"Flat 2, Church Hill HouseChurch HillBristolBS4 4LT","Replacement of timber 3 no. windows and 4 no. doors with new timber units, on ground floor.",GRANTED subject to condition(s),GRANTED subject to condition(s),-370334720.0,0,0,178384,13,BS4 4LT
3781,178444,12/05180/FB,West Town Lane AcademyWest Town LaneBrislingtonBristolBS4 5DT,"Erection of three school extensions, together with the development of a Multi Use Games Area (MUGA), associated landscaping and covered cycle parking facilities.(Major)",GRANTED subject to condition(s),GRANTED subject to condition(s),-679600128.0,0,0,178444,12,BS4 5DT
3799,178486,12/05044/F,LidlWest Town LaneBrislingtonBristolBS4 5DA,Single storey ancillary extension to the front elevation of the Lidl neighbourhood foodstore.,GRANTED subject to condition(s),GRANTED subject to condition(s),393534464.0,0,0,178486,12,BS4 5DA
3806,178506,13/00304/H,9 Tavistock RoadBristolBS4 1DL,Retention of existing rear conservatory.,GRANTED subject to condition(s),GRANTED subject to condition(s),245767168.0,0,0,178506,13,BS4 1DL
3814,178524,12/05220/H,36 Robertson DriveBristolBS4 4JB,Proposed conservatory extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),652734464.0,0,0,178524,12,BS4 4JB
3817,178527,12/05224/H,162 Newbridge RoadBristolBS4 4DS,Ground floor extension to replace existing conservatory.,GRANTED subject to condition(s),GRANTED subject to condition(s),1171134464.0,0,0,178527,12,BS4 4DS
3820,178532,12/05378/F,Unit 25 Clothier RoadBristolBS4 5PS,Change of use from Use Classes B1/B2 to split use D1/D2.,GRANTED subject to condition(s),GRANTED subject to condition(s),1455367168.0,0,0,178532,12,BS4 5PS
3834,178567,12/05217/F,43A GreenleazeBristolBS4 2TL,"Residential development comprising 1 pair of semi-detached, 3 bedroomed dwellings and related access.",GRANTED subject to condition(s),GRANTED subject to condition(s),1516734464.0,0,0,178567,12,BS4 2TL
3875,178648,13/00178/F,ITV WestBath RoadBrislingtonBristolBS4 3HG,"Demolition of free standing annexe office building and erection of 30 dwellings, provision or associated parking and landscaping measures. (Major application).",GRANTED subject to condition(s),GRANTED subject to condition(s),-1147934720.0,0,0,178648,13,BS4 3HG
3876,178649,13/00179/LC,ITV WestBath RoadBrislingtonBristolBS4 3HG,Demolition of redundant stand-alone office annexe ( 280 sq.m).,GRANTED subject to condition(s),GRANTED subject to condition(s),1371396096.0,0,0,178649,13,BS4 3HG
3892,178679,13/00026/F,J Sainsbury PlcBloomfield Road LinkBristolBS4 3BD,Installation of a wood pellet biomass boiler within the extended service yard wall to the rear of the store at ground level.,GRANTED subject to condition(s),GRANTED subject to condition(s),936967168.0,0,0,178679,13,BS4 3BD
3893,178680,13/00132/LA,3 Wells RoadTotterdownBristolBS4 2BE,"Replacement of hardwood windows, painted white complete with thin glazing.",GRANTED subject to condition(s),GRANTED subject to condition(s),789199872.0,0,0,178680,13,BS4 2BE
3895,178684,13/00133/F,148  - 148A Wells RoadTotterdownBristolBS4 2AG,Extension to first floor office space of no.148 together with the redevelopment of flat roofs of no's 148  - 148a to provide a one bed apartment.,GRANTED subject to condition(s),GRANTED subject to condition(s),1800967168.0,0,0,178684,13,BS4 2AG
3896,178685,13/00134/F,Bristol Ariel Rowing ClubBirchwood RoadBristolBS4 4QL,Creation of new changing and showering facility over existing iron boat shed.,GRANTED subject to condition(s),GRANTED subject to condition(s),1455367168.0,0,0,178685,13,BS4 4QL
3912,178732,12/05646/H,59 Allison RoadBristolBS4 4PW,Demolition of garage and rebuild shed.,GRANTED subject to condition(s),GRANTED subject to condition(s),245767168.0,0,0,178732,12,BS4 4PW
3922,178758,12/05162/H,102 Winchester RoadBristolBS4 3NL,Single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-556865536.0,0,0,178758,12,BS4 3NL
3929,178776,13/00645/H,46 Broad WalkBristolBS4 2RB,Demolition of existing porch and construction of a single store front extension to provide a utility room and w.c.,GRANTED subject to condition(s),GRANTED subject to condition(s),-247600128.0,0,0,178776,13,BS4 2RB
3981,178877,12/05464/H,7 Hengrove RoadBristolBS4 2PR,"Rear loft extension with dormer and ground floor rear extension to provide additional living accommodation for the existing house, comprising: additional bedroom, en-suite bathroom, new family/garden room.",GRANTED subject to condition(s),GRANTED subject to condition(s),-2000632832.0,0,0,178877,12,BS4 2PR
4001,178917,13/00394/H,17 Montrose ParkBristolBS4 4JE,Demolition of existing single storey rear building and erection of new 2-storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1889200128.0,0,0,178917,13,BS4 4JE
4002,178918,13/00743/F,53 - 55 Sandy Park RoadBristolBS4 3PH,"Replace existing aluminium shop front with new hardwood frames, entrance door and folding sliding doors.",GRANTED subject to condition(s),GRANTED subject to condition(s),529999872.0,0,0,178918,13,BS4 3PH
4003,178922,13/00741/A,53 - 55 Sandy Park RoadBristolBS4 3PH,Sign above shopfront.,GRANTED subject to condition(s),GRANTED subject to condition(s),529999872.0,0,0,178922,13,BS4 3PH
4034,178987,12/05430/H,17 Talbot RoadBristolBS4 2NE,Single storey extension to rear.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1568632832.0,0,0,178987,12,BS4 2NE
4077,179066,12/05602/H,49 St Martins RoadBristolBS4 2NH,Proposed replacement conservatory structure to the rear elevation of the house.,GRANTED subject to condition(s),GRANTED subject to condition(s),-99832832.0,0,0,179066,12,BS4 2NH
4086,179087,12/05082/LA,St Annes Infant SchoolBloomfield RoadBristolBS4 3QJ,"Demolition of small extension, lowering of windows to form doorways, alterations and remodelling internally.",GRANTED subject to condition(s),GRANTED subject to condition(s),2121534464.0,0,0,179087,12,BS4 3QJ
4106,179117,13/00100/A,282-284 Wells RoadKnowleBristolBS4 2PY,New signage and ATM surround.,GRANTED subject to condition(s),GRANTED subject to condition(s),332167168.0,0,0,179117,13,BS4 2PY
4110,179126,12/05059/H,22 Robertson DriveBristolBS4 4JB,Single storey extension to front of attached garage and conversion of garage to provide additional living space.,GRANTED subject to condition(s),GRANTED subject to condition(s),479934464.0,0,0,179126,12,BS4 4JB
4117,179154,13/00397/H,2 Gotley RoadBristolBS4 5AS,Double storey side extension,GRANTED subject to condition(s),GRANTED subject to condition(s),-247600128.0,0,0,179154,13,BS4 5AS
4126,179174,13/00830/A,Land At Tramway Road(former Prospect School)BristolBS4 3DS,"Installation of new signage for new Hungry Horse Pub & Grill (The Lodekka), to include A) 3 x fascia signs; B) 1 x main post sign with amenity board; C) 3 x Cartouche signs with flood lights; D) 1 x brass lantern; E) 1 x 'Welcome' door sign; F) 1 x post-mounted, freestanding correx signs; G) 1 x folded aluminium amenity board; and H) 1 x freestanding  'Welcome' directional sign.",GRANTED subject to condition(s),GRANTED subject to condition(s),839265280.0,0,0,179174,13,BS4 3DS
4134,179198,12/05018/H,8 Chilton RoadBristolBS4 1BZ,Double storey side extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-643265536.0,0,0,179198,12,BS4 1BZ
4165,179271,12/00486/F,85 Eastwood RoadBristolBS4 4RR,"Erection of a three bed, 'chalet-style' house in the rear garden.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1582363648.0,0,0,179271,12,BS4 4RR
4174,179286,13/00090/R,821 Bath RoadBrislingtonBristolBS4 5LQ,Application for a new planning permission to replace an extant planning permission - application 09/05164/F -  Temporary siting of self-storage units and office portacabin (B8 Use Class) for three years.,GRANTED subject to condition(s),GRANTED subject to condition(s),1455367168.0,0,0,179286,13,BS4 5LQ
4185,179305,13/00758/F,Fowlers Of Bristol Ltd2-12 Bath RoadTotterdownBristolBS4 3DR,"Mark out parking bays, increase the height of one bay within the existing building and convert a redundant M.O.T bay into a parts counter.",GRANTED subject to condition(s),GRANTED subject to condition(s),443599872.0,0,0,179305,13,BS4 3DR
4224,179395,13/01333/F,14 Hollywood RoadBristolBS4 4LE,"Change of use from ground floor Take-Away and flat to a single dwelling house with removal of signage, security shutters and commercial ventilation pipe work.",GRANTED subject to condition(s),GRANTED subject to condition(s),2023832576.0,0,0,179395,13,BS4 4LE
4233,179418,13/02743/F,Ilminster Avenue Specialist Nursery SchoolIlminster AvenueBristolBS4 1BX,Proposed single storey extension to provide a reception area and three offices / meeting rooms.,GRANTED subject to condition(s),GRANTED subject to condition(s),1962465280.0,0,0,179418,13,BS4 1BX
4244,179438,13/03156/H,112 Willinton RoadBristolBS4 1HY,First floor rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),1357665280.0,0,0,179438,13,BS4 1HY
4264,179479,13/01362/F,52/54 Bristol HillBristolBS4 5AB,Installation of a new shop frontage and access ramp.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1061534720.0,0,0,179479,13,BS4 5AB
4291,179539,13/01133/H,20 Rookery RoadBristolBS4 2DS,"Two storey extension to side of house, roof extension to rear, and rear extension/continuation of existing lean to and cellar space.",GRANTED subject to condition(s),GRANTED subject to condition(s),727832576.0,0,0,179539,13,BS4 2DS
4313,179570,13/01899/H,253 Wick RoadBristolBS4 4HR,The building of a timber clad single storey double garage.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1579934720.0,0,0,179570,13,BS4 4HR
4316,179573,13/01919/F,49 Eastwood RoadBristolBS4 4RN,Conversion and extension of existing residential property to form 2.no independent dwellings.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1579934720.0,0,0,179573,13,BS4 4RN
4318,179578,13/03220/H,50 Eastwood RoadBristolBS4 4RW,Erection of rear and side single storey pitched roof extensions and modify roof space to provide 2 no. bedrooms with en-suite.,GRANTED subject to condition(s),GRANTED subject to condition(s),-863702016.0,0,0,179578,13,BS4 4RW
4388,179754,13/03926/R,10 Melvin SquareBristolBS4 1LZ,"Application for a new planning permission to replace an extant planning permission 10/02320/F, which approved the construction of a double storey front and single storey side extension to the shop, an additional shop unit and living accommodation, including 2 no. dormers to front elevation, in order to extend the time limit for its implementation.",GRANTED subject to condition(s),GRANTED subject to condition(s),446028800.0,0,0,179754,13,BS4 1LZ
4392,179765,13/00963/A,282-284 Wells RoadKnowleBristolBS4 2PY,1no A0 window marketing unit (internal) statutory vinyl applied to inside face of glazing,GRANTED subject to condition(s),GRANTED subject to condition(s),961999872.0,0,0,179765,13,BS4 2PY
4405,179793,13/04070/H,49 Brecknock RoadBristolBS4 2DE,First floor extension above existing kitchen.,GRANTED subject to condition(s),GRANTED subject to condition(s),-61069312.0,0,0,179793,13,BS4 2DE
4413,179813,13/03884/H,16 Queens RoadKnowleBristolBS4 2LT,Two storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-925069312.0,0,0,179813,13,BS4 2LT
4429,179854,13/02483/H,20 West Town ParkBristolBS4 5EB,Proposed two storey side extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),234465280.0,0,0,179854,13,BS4 5EB
4431,179857,13/02983/H,36 Homemead DriveBristolBS4 5AP,Side extension first floor with single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-950102016.0,0,0,179857,13,BS4 5AP
4464,179916,13/02212/A,323 Wells RoadKnowleBristolBS4 2QE,Internally illuminated signage on ATM,GRANTED subject to condition(s),GRANTED subject to condition(s),-456734720.0,0,0,179916,13,BS4 2QE
4498,179993,13/01159/H,76 Melbury RoadBristolBS4 2RP,Two storey side extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),1393999872.0,0,0,179993,13,BS4 2RP
4499,179994,13/01149/F,22 - 24 Clothier RoadBristolBS4 5PS,"Demolition of existing and redundant premises and erection of a new warehouse building linked to an existing building of similar use.  Associated hardstandings, fencing and landscaping.(Major Application).",GRANTED subject to condition(s),GRANTED subject to condition(s),-2098334720.0,0,0,179994,13,BS4 5PS
4533,180083,13/01468/F,The BushWells RoadTotterdownBristolBS4 2BA,Change of use of lower ground and ground floor of public house to day care nursery (Class D1) and associated external works.,GRANTED subject to condition(s),GRANTED subject to condition(s),382232576.0,0,0,180083,13,BS4 2BA
4558,180136,13/04260/F,Rear Of 101 Broad Walk & FrontingStoneleigh Road (aka 60 Stoneleigh Road)BristolBS4 2RJ,Retention of detached brick built house.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1800371200.0,0,0,180136,13,BS4 2RJ
4567,180150,13/02393/F,59 St Martins RoadBristolBS4 2NH,Use of existing residential home as a residential home for a maximum of six young persons.,GRANTED subject to condition(s),GRANTED subject to condition(s),-370334720.0,0,0,180150,13,BS4 2NH
4572,180164,13/03521/F,Unit 4Brislington Retail ParkBath RoadBrislingtonBristolBS4 5NG,Proposed increased opening of 2 No. display windows to existing front elevation of retail unit.,GRANTED subject to condition(s),GRANTED subject to condition(s),889330688.0,0,0,180164,13,BS4 5NG
4579,180186,13/04153/F,The Mede Community Centre1 Marshall WalkBristolBS4 1TR,Forming a new door opening in the side of the existing building to access a new landscaped children's play area.,GRANTED subject to condition(s),GRANTED subject to condition(s),-61069312.0,0,0,180186,13,BS4 1TR
4599,180221,13/01584/F,43A GreenleazeBristolBS4 2TL,Conversion of bungalow into three self-contained flats and associated external alterations.,GRANTED subject to condition(s),GRANTED subject to condition(s),1962465280.0,0,0,180221,13,BS4 2TL
4636,180312,13/01965/F,280 Wells RoadKnowleBristolBS4 2PU,Change of use of existing store room to 1 no. one bed flat with retention of single storey extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),1209897984.0,0,0,180312,13,BS4 2PU
4642,180320,13/02284/H,71 Repton RoadBristolBS4 3LU,Demolition of existing single storey rear extension and construction of two storey rear extension,GRANTED subject to condition(s),GRANTED subject to condition(s),234465280.0,0,0,180320,13,BS4 3LU
4674,180422,13/05020/H,40 Crossways RoadBristolBS4 2SP,Two storey side extension and loft conversion.,GRANTED subject to condition(s),GRANTED subject to condition(s),1716996096.0,0,0,180422,13,BS4 2SP
4709,180519,13/01359/H,15 Lucas CloseBristolBS4 5DG,Single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1518567424.0,0,0,180519,13,BS4 5DG
4745,180628,13/04895/H,10 Hengrove RoadBristolBS4 2PS,Proposed rear extension to first floor with single storey ground floor extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),223163392.0,0,0,180628,13,BS4 2PS
4778,180701,13/03501/X,22 - 24 Clothier RoadBristolBS4 5PS,"Variation of condition no.13 (list of approved plans and drawings) of planning permission 13/01149/F for the demolition of existing and redundant premises and erection of a new warehouse building linked to an existing building of similar use.  Associated hardstandings, fencing and landscaping.(Major Application)  - to allow change of proposed materials from brickwork to lower part of construction with fair-faced reinforced concrete.",GRANTED subject to condition(s),GRANTED subject to condition(s),-493069312.0,0,0,180701,13,BS4 5PS
4788,180723,13/05402/LA,43 Long Fox Manor825 Bath RoadBrislingtonBristolBS4 5RT,"Replace French doors and surrounding windows, softwood and single glazed, to double glazed, keeping them as softwood or hardwood on one of the apartments of the block being managed by Long Fox Manor Ltd.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1652603904.0,0,0,180723,13,BS4 5RT
4804,180761,13/02265/X,West Town Lane Primary SchoolWest Town LaneBrislingtonBristolBS4 5DT,"Variation of Condition No. 23 (List of approved drawings/documents) attached to planning permission 12/05180/FB, which approved the erection of three school extensions, together with the development of a Multi Use Games Area (MUGA), associated landscaping and covered cycle parking facilities.(Major).",GRANTED subject to condition(s),GRANTED subject to condition(s),-283934720.0,0,0,180761,13,BS4 5DT
4819,180800,13/04875/F,12 Birchwood RoadBristolBS4 4QH,Erection of a detached bungalow in part of the rear garden of 12 Birchwood Road.,GRANTED subject to condition(s),GRANTED subject to condition(s),2037563392.0,0,0,180800,13,BS4 4QH
4843,180834,13/02225/F,47 Eagle RoadBristolBS4 3LQ,Conversion of a three bedroom house and garage into 2 two bedroomed flats.,GRANTED subject to condition(s),GRANTED subject to condition(s),1876065280.0,0,0,180834,13,BS4 3LQ
4848,180844,13/03615/F,36 Somerdale AvenueBristolBS4 2XN,"Proposed 2no. bed single dwelling house, accommodated within a two storey extension attached to the existing property.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1936836608.0,0,0,180844,13,BS4 2XN
4852,180863,13/03138/F,325-327  Wells RoadKnowleBristolBS4 2QB,Change of use from Use ClassA1 (Retail) to Use Class D1 (Dental Practice) with associated alterations to the shop front.,GRANTED subject to condition(s),GRANTED subject to condition(s),-604502016.0,0,0,180863,13,BS4 2QB
4856,180879,13/04856/LA,Heath Court HouseIronmould LaneBristolBS4 5RS,Proposed garage conversion into 2bed annex with 5No. velux.,GRANTED subject to condition(s),GRANTED subject to condition(s),482363392.0,0,0,180879,13,BS4 5RS
4857,180881,13/04855/F,Heath Court HouseIronmould LaneBristolBS4 5RS,Proposed garage conversion into 2bed annex with 5No. velux.,GRANTED subject to condition(s),GRANTED subject to condition(s),482363392.0,0,0,180881,13,BS4 5RS
4898,181016,13/04771/H,66 Hungerford RoadBristolBS4 5HW,Single storey side extension to enlarge kitchen & provide new front entrance.,GRANTED subject to condition(s),GRANTED subject to condition(s),2098930688.0,0,0,181016,13,BS4 5HW
4907,181041,13/00984/VP,12 Homemead DriveBristolBS4 5AP,To fell (TI) sycamore tree in rear garden protected by tree preservation order no. 234.,GRANTED,GRANTED,2085199872.0,0,0,181041,13,BS4 5AP
4938,181109,13/05581/F,2 Ilminster AvenueBristolBS4 1LT,Conversion of two storey side extension to single dwelling house.,GRANTED subject to condition(s),GRANTED subject to condition(s),-677171200.0,0,0,181109,13,BS4 1LT
4943,181117,13/00927/H,34 Priory RoadKnowleBristolBS4 2NL,Erection of single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),443599872.0,0,0,181117,13,BS4 2NL
4945,181123,13/01247/F,10 Montrose ParkBristolBS4 4JF,Conversion of dwelling to 2 flats.,GRANTED subject to condition(s),GRANTED subject to condition(s),-2098334720.0,0,0,181123,13,BS4 4JF
4963,181161,13/03979/F,Avon Valley Business ParkChapel WayBristolBS4 4EU,Install a new access point to the trash screen.,GRANTED subject to condition(s),GRANTED subject to condition(s),223163392.0,0,0,181161,13,BS4 4EU
4992,181236,13/04800/F,214-224 Broomhill RoadBristolBS4 5RG,Proposed change of use of Room R0001 from Use Class B1(Light Industrial) to a brewhouse (Use Class B2).,GRANTED subject to condition(s),GRANTED subject to condition(s),-2034538496.0,0,0,181236,13,BS4 5RG
5006,181272,13/01616/F,20 Stoneleigh RoadBristolBS4 2RJ,Proposed two storey side extension to create self-contained 2 bed dwelling with associated detached double garage and landscaping.,GRANTED subject to condition(s),GRANTED subject to condition(s),1332632576.0,0,0,181272,13,BS4 2RJ
5010,181278,13/01714/F,16 Hill CrestBristolBS4 2UN," Proposed use of  side extension as a  2no. bed dwelling house , (with associated external alterations).",GRANTED subject to condition(s),GRANTED subject to condition(s),-975134720.0,0,0,181278,13,BS4 2UN
5016,181296,13/02543/H,6 Daventry RoadBristolBS4 1DG,Drop kerb in front of property.,GRANTED subject to condition(s),GRANTED subject to condition(s),1530465280.0,0,0,181296,13,BS4 1DG
5022,181311,13/05617/F,South East Delivery OfficeMead StreetBristolBS4 3DZ,"New pedestrian/disabled entrance from pavement, canopy to new entrance doors and internal refurbishment.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1886771200.0,0,0,181311,13,BS4 3DZ
5037,181359,13/02510/F,BOCWhitby RoadBristolBS4 3QH,Construction of concrete hardstanding.,GRANTED subject to condition(s),GRANTED subject to condition(s),1209897984.0,0,0,181359,13,BS4 3QH
5043,181375,13/02584/H,520 Bath RoadBrislingtonBristolBS4 3JY,10 Demolition of existing garage and rebuild new garage with habitable room above and two parking spaces in rear garden.,GRANTED subject to condition(s),GRANTED subject to condition(s),61665280.0,0,0,181375,13,BS4 3JY
5052,181390,13/05270/F,155 Broadfield RoadBristolBS4 2UY,Proposed erection of a two storey dwellinghouse to the side of 155 Broadfield Road.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1998203904.0,0,0,181390,13,BS4 2UY
5056,181403,13/05508/LA,Long Fox Manor825 Bath RoadBrislingtonBristolBS4 5RT,Siting of a CCTV camera overlooking the main car park.,GRANTED subject to condition(s),GRANTED subject to condition(s),643861504.0,0,0,181403,13,BS4 5RT
5081,181458,13/04492/FB,Pastime CentreLanghill AvenueBristolBS4 1TN,"Erection of 1.27m high weldmesh security fencing on top of existing boundary wall to lower ca rpark with 2.4m high automated gates, to create secure overnight parking area for up to 6 number 16 seater  passenger buses. Line marking of carpark with disabled parking bays and bus parking areas.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1677636608.0,0,0,181458,13,BS4 1TN
5115,181549,13/05418/F,Land Adjacent 15 Woodcroft RoadBristolBS4 4QW,Proposed erection of  2 No 3-bedroom semi-detached houses.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1800371200.0,0,0,181549,13,BS4 4QW
5116,181551,13/05479/H,5 Belroyal AvenueBristolBS4 4RU,Single storey rear bedroom / wet room extension for disabled resident.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1220603904.0,0,0,181551,13,BS4 4RU
5189,181692,13/04919/F,Unit 1Riverside Business ParkSt Annes RoadSt AnnesBristolBS4 4ED,"Proposed alterations to building elevations, including the replacement of cladding, and windows and doors to building frontage.",GRANTED subject to condition(s),GRANTED subject to condition(s),-381636608.0,0,0,181692,13,BS4 4ED
5190,181693,13/04922/F,Spectrum Services11 Sandown RoadBristolBS4 3PL,Proposed conversion of office space on the ground floor into a two bedroom apartment.,GRANTED subject to condition(s),GRANTED subject to condition(s),-615803904.0,0,0,181693,13,BS4 3PL
5191,181694,13/04921/H,27 Stockwood CrescentBristolBS4 1AN,"Proposed single storey side extension and front porch,",GRANTED subject to condition(s),GRANTED subject to condition(s),-1825403904.0,0,0,181694,13,BS4 1AN
5209,181737,13/03519/F,CloverdownKenmare RoadBristolBS4 1PG,Construction of 28 dwellings and associated works at the former Cloverdown Care Home.,GRANTED subject to condition(s),GRANTED subject to condition(s),25330688.0,0,0,181737,13,BS4 1PG
5244,181805,13/03335/F,72 Somerdale AvenueBristolBS4 1AE,Proposed 2-bedroomed dwelling accommodated within a two storey side extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1886771200.0,0,0,181805,13,BS4 1AE
5281,181898,13/03929/X,The BushWells RoadTotterdownBristolBS4 2BA,Removal of condition No. 12 for planning permission 13/01468/F - Change of use of lower ground and ground floor of public house to day care nursery (Class D1) and associated external works - to allow the use of the raised terrace on the west and north elevation as outdoor play area.,GRANTED subject to condition(s),GRANTED subject to condition(s),-406669312.0,0,0,181898,13,BS4 2BA
5313,181969,13/03805/F,The Mede Community And Youth Centre1 - 2 Marshall WalkBristolBS4 1TR,Proposed implementation of security improvements and fencing to parts of the site including: removal of fencing at rear garden; removal of some raised metal grids in back garden; installation of Prikka strip and anti-climb paint (in numerous places); filed off windowsills and Perspex to bring window areas (all round the building) flush with the wall;  Fix benches to the ground;  Install 2-2.4m high fencing with access gates at side of the building.,GRANTED subject to condition(s),GRANTED subject to condition(s),-665869312.0,0,0,181969,13,BS4 1TR
5314,181977,13/03845/H,156 Bath RoadTotterdownBristolBS4 3EF,Proposed new roof extension to provide additional living space.,GRANTED subject to condition(s),GRANTED subject to condition(s),-493069312.0,0,0,181977,13,BS4 3EF
5345,182065,13/02632/F,45 Ponsford RoadBristolBS4 2UT,Conversion of house into 2no. 1 bedroomed self-contained flats and associated external alterations.,GRANTED subject to condition(s),GRANTED subject to condition(s),-493069312.0,0,0,182065,13,BS4 2UT
5351,182076,13/03173/F,10A Sandy Park RoadBristolBS4 3PE,Timber frame upper decking to link first floor flat via stairs to garden below.,GRANTED subject to condition(s),GRANTED subject to condition(s),173097984.0,0,0,182076,13,BS4 3PE
5362,182097,13/04032/H,146 Leinster AvenueBristolBS4 1NW,Proposed two storey side extension and renewed conservatory to rear.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1011469312.0,0,0,182097,13,BS4 1NW
5366,182106,13/04126/F,45 Novers Park RoadBristolBS4 1RL,"Conversion of single dwelling to 2 No 1-bed flats, with rear extension.",GRANTED subject to condition(s),GRANTED subject to condition(s),-468036608.0,0,0,182106,13,BS4 1RL
5376,182134,13/01947/F,Tesco Stores LtdMarmalade LaneBristolBS4 5AY,Proposed single storey extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),1937432576.0,0,0,182134,13,BS4 5AY
5390,182155,13/02738/H,32 Westbrook RoadBristolBS4 5EF,Domestic detached side garage to replace existing.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1122902016.0,0,0,182155,13,BS4 5EF
5443,182264,13/04469/F,190 Wells RoadTotterdownBristolBS4 2AX,Change of use of ground floor to a self-contained flat.,GRANTED subject to condition(s),GRANTED subject to condition(s),14028800.0,0,0,182264,13,BS4 2AX
5456,182302,13/01675/VD,South Bristol Sports CentreWest Town LaneHengroveBristolBS4 5DQ,Raise canopy to a height no less than 5.7 meters of a row of beech trees on Sturminster Road covered by a tree preservation order no. 70,GRANTED,GRANTED,443599872.0,0,0,182302,13,BS4 5DQ
5476,182347,13/04677/X,40 Queensdale CrescentBristolBS4 2TW,Variation of condition no.5 (which lists the approved plans) of planning permission 13/03324/X for detached single storey building in rear garden (ancillary accommodation to main dwelling) - plans show change of external appearance from timber panels to render.,GRANTED subject to condition(s),GRANTED subject to condition(s),1407730688.0,0,0,182347,13,BS4 2TW
5482,182367,13/01511/H,3 Homemead DriveBristolBS4 5AP,Proposed single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-740967424.0,0,0,182367,13,BS4 5AP
5502,182428,13/05025/H,27 Somerset RoadBristolBS4 2HT,Ground floor kitchen extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-702203904.0,0,0,182428,13,BS4 2HT
5524,182477,13/04741/H,15 Stirling RoadBristolBS4 3PD,Single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),50363392.0,0,0,182477,13,BS4 3PD
5537,182500,13/04866/X,Unit A Bath Road Retail ParkTramway RoadBristolBS4 3LP,Variation of condition 11attached to planning permission 12/04728/F.,GRANTED subject to condition(s),GRANTED subject to condition(s),568763392.0,0,0,182500,13,BS4 3LP
5546,182518,13/01813/H,5 Hillsborough RoadBristolBS4 3QW,Two storey side extension,GRANTED subject to condition(s),GRANTED subject to condition(s),2110232576.0,0,0,182518,13,BS4 3QW
5555,182546,13/03274/F,Unit 3 Heston House7 - 9 Emery RoadBristolBS4 5PF,"Change of business use from offices (Use Class B1) to offices, general industry and storage and distribution (Use Classes B1,B2 and B8).",GRANTED subject to condition(s),GRANTED subject to condition(s),-1702669312.0,0,0,182546,13,BS4 5PF
5563,182560,13/04396/F,42 Queens RoadKnowleBristolBS4 2LT,Proposed two storey extension to accommodate a 1no.bed flat and a 2no. bed flat. proposed decking to rear of proposed extension and existing property.,GRANTED subject to condition(s),GRANTED subject to condition(s),136763392.0,0,0,182560,13,BS4 2LT
